orig.ident	n_spots	dominant_origin	dominant_slide	n_slide_names
IU_PDA_T3	4354	Pancreas	V12M07-120	1
IU_PDA_LNM10	4147	Lymph node	V12A25-328	1
IU_PDA_T2	4118	Pancreas	V12A25-377	1
IU_PDA_HM8	4032	Liver	V11N29-352	1
IU_PDA_HM11	3931	Liver	V12M07-118	1
IU_PDA_NP11	3859	Normal Pancreas	V12M07-118	1
IU_PDA_T8	3779	Pancreas	v11N29-352	1
IU_PDA_LNM6	3745	Lymph node	V12M07-119	1
IU_PDA_T12	3642	Pancreas	V11D13-308	1
IU_PDA_T4	3621	Pancreas	V12M07-117	1
IU_PDA_T1	3530	Pancreas	V12M07-117	1
IU_PDA_T9	3526	Pancreas	V12A25-326	1
IU_PDA_LNM8	3407	Lymph node	V12A25-326	1
IU_PDA_T6	3397	Pancreas	V12M15-057	1
IU_PDA_LNM12	3213	Lymph node	V12A25-326	1
IU_PDA_LNM7	3186	Lymph node	V12M07-119	1
IU_PDA_HM5	3038	Liver	V11D13-308	1
IU_PDA_NP2	2995	Normal Pancreas	V12A25-377	1
IU_PDA_NP10	2966	Normal Pancreas	V12A25-328	1
IU_PDA_HM12	2961	Liver	V11D13-308	1
IU_PDA_T11	2777	Pancreas	V12M07-118	1
IU_PDA_T10	2714	Pancreas	V11N29-352	1
IU_PDA_HM2	2478	Liver	V12A25-377	1
IU_PDA_HM10	2348	Liver	V11N29-352	1
IU_PDA_HM13	2182	Liver	V12A25-328	1
IU_PDA_HM9	1908	Liver	V12A25-326	1
IU_PDA_HM4	1841	Liver	V12M07-120	1
IU_PDA_HM6	1666	Liver	V12M15-057	1
IU_PDA_HM3	1176	Liver	V12M07-120	1
IU_PDA_HM2_2	959	Liver	V12A25-377	1
