column	class	n_unique	n_missing
spot	character	91496	0
nCount_Spatial	integer	19210	0
nFeature_Spatial	integer	6839	0
percent_mito	integer	1	0
percent_hb	integer	1	0
nCount_SCT	integer	12490	0
nFeature_SCT	integer	5224	0
SCT_snn_res.0.8	integer	37	0
seurat_clusters	factor	21	0
integrated_snn_res.0.8	factor	21	0
Sample_ID2	character	30	0
SeuratID_OLD	character	30	0
SlideName	character	11	0
AreaCode	character	4	0
Origin	character	4	0
DV200_.	numeric	23	25826
Treatment	character	2	0
Age	integer	12	51052
Ethnic	character	4	0
Gender	character	3	0
Location_in_pancreas	character	5	0
AJCC_stage	character	6	0
Histology	character	4	0
R0_ressection	character	4	0
Peripheral_Nerve_Invasion	character	4	0
Lymphovascular_Invasion	character	4	0
Nodes_collected	character	3	0
Nodes_positive	character	14	0
Tumor_Grade_Histology	character	4	0
Data_of_Surgery_start_point_in_survival_analysis	character	13	0
Neoadjuvant_Chemo	character	6	0
NOTES	character	4	0
spot_class	factor	4	0
first_type	factor	15	0
second_type	factor	15	0
first_class	logical	1	0
second_class	logical	1	0
min_score	numeric	91496	0
singlet_score	numeric	91496	0
conv_all	logical	2	0
conv_doublet	logical	2	0
orig.ident	character	30	0
patient	character	13	0
integrated_snn_res.0	factor	1	0
integrated_snn_res.0.2	factor	8	0
integrated_snn_res.0.25	factor	9	0
integrated_snn_res.0.3	factor	11	0
integrated_snn_res.0.35	factor	11	0
integrated_snn_res.0.4	factor	12	0
integrated_snn_res.0.5	factor	15	0
integrated_snn_res.0.6	factor	16	0
integrated_snn_res.0.7	factor	19	0
CompositionCluster_CC	character	18	0
cc_ischia	character	14	0
cc_ischia_10	character	10	0
cc_ischia_12	character	12	0
cc_ischia_16	character	16	0
cc_ischia_18	character	18	0
nCount_fges	numeric	91496	0
nFeature_fges	integer	18	0
umap_1	numeric	91419	0
umap_2	numeric	91414	0
