orig.ident	gene	positive_spots	combinedPval	adjustedPval	best_kernel	best_kernel_stat	best_kernel_pval	available_in_section	n_spots	n_genes_tested
IU_PDA_T1	KCNA5	4	0.3036268493961545	1	gaus3	3.324345385908334	0.1893828551045844	TRUE	3530	17893
IU_PDA_T10	KCNA5	6	0.9677958362125659	1	cos1	2.355560187273791	0.30717052153744573	TRUE	2714	17893
IU_PDA_T11	KCNA5	9	0.3105596866166287	1	cos5	4.019951902254075	0.13313372900050457	TRUE	2777	17893
IU_PDA_T12	KCNA5	92	2.0518359320620405e-4	0.002651567817548317	projection	21.804129108188484	1.918158640434875e-5	TRUE	3642	17893
IU_PDA_T2	KCNA5	21	0.196044928042298	1	gaus5	5.366140259351325	0.06743239537805046	TRUE	4118	17893
IU_PDA_T3	KCNA5	13	0.37382603584357954	1	projection	6.515666679300173	0.03810909526681905	TRUE	4354	17893
IU_PDA_T4	KCNA5	15	0.002660782317380983	0.04102709586995023	projection	16.46835803854449	2.5627024675434207e-4	TRUE	3621	17893
IU_PDA_T6	KCNA5	9	0.48461588447513715	1	cos4	4.658200442601434	0.09679666087155558	TRUE	3397	17893
IU_PDA_T9	KCNA5	11	0.3763269514951215	1	cos1	4.253550890090369	0.11844475691948997	TRUE	3526	17893
IU_PDA_T1	KCNAB1	11	0.4929070947860529	1	cos4	5.966334091467797	0.050174139089875114	TRUE	3530	17893
IU_PDA_T10	KCNAB1	3	0.35009615202746447	1	cos5	3.163468539292445	0.20527231903586185	TRUE	2714	17893
IU_PDA_T11	KCNAB1	50	0.4041856055447949	1	cos2	5.0197537499709375	0.07770355306564714	TRUE	2777	17893
IU_PDA_T12	KCNAB1	175	0.09372017933775556	1	gaus5	6.482052694995255	0.0335837062675538	TRUE	3642	17893
IU_PDA_T2	KCNAB1	23	0.8284894047302167	1	projection	4.247459037794614	0.11818143417121885	TRUE	4118	17893
IU_PDA_T3	KCNAB1	21	0.03516826018221564	0.5023374916261395	projection	11.060120400327255	0.003863939887068346	TRUE	4354	17893
IU_PDA_T4	KCNAB1	18	0.12738204168482992	1	cos1	8.060296377099633	0.017440606536864856	TRUE	3621	17893
IU_PDA_T6	KCNAB1	29	0.5228422436189994	1	cos1	3.3302683972782985	0.18648663156291945	TRUE	3397	17893
IU_PDA_T8	KCNAB1	8	0.27278218279802813	1	projection	7.918104151357667	0.01892920866205361	TRUE	3779	17893
IU_PDA_T9	KCNAB1	36	0.8331631187848868	1	projection	3.697866496204323	0.15451991813608035	TRUE	3526	17893
IU_PDA_T1	KCNAB2	131	1.5879189518841486e-8	4.1446062799932695e-7	gaus1	39.07530708135641	1.5882303153024247e-9	TRUE	3530	17893
IU_PDA_T10	KCNAB2	229	5.407264661876354e-4	0.011513481382849924	gaus5	16.86272698699166	1.1413185972586337e-4	TRUE	2714	17893
IU_PDA_T11	KCNAB2	201	1.3029236023420765e-8	3.471600203473395e-7	projection	38.330790999695445	1.184485121985224e-9	TRUE	2777	17893
IU_PDA_T12	KCNAB2	1328	1.462546616241048e-24	2.9148730136813076e-23	gaus5	81.05985735014835	2.688546894495861e-25	TRUE	3642	17893
IU_PDA_T2	KCNAB2	223	0.23400179960765666	1	gaus5	4.736777576779304	0.08217749779878702	TRUE	4118	17893
IU_PDA_T3	KCNAB2	604	1.7203017921296748e-7	4.214541190530274e-6	gaus3	29.070844588608626	6.058027166086525e-8	TRUE	4354	17893
IU_PDA_T4	KCNAB2	297	2.6597135312389497e-5	4.637795733238116e-4	projection	26.42194254083145	3.2838393029255286e-6	TRUE	3621	17893
IU_PDA_T6	KCNAB2	292	1.4621337474096663e-10	2.649141781718523e-9	projection	46.16184313440209	1.3292104707461266e-11	TRUE	3397	17893
IU_PDA_T8	KCNAB2	310	7.882685393312272e-9	1.499804033715254e-7	projection	39.00544806595969	7.166200992802601e-10	TRUE	3779	17893
IU_PDA_T9	KCNAB2	342	1.912939281067949e-5	7.234495381190595e-4	gaus2	24.976986370023706	4.590082013145036e-6	TRUE	3526	17893
IU_PDA_T1	KCNB1	3	0.006903443047637237	0.0998032411928068	gaus1	14.374371844226657	7.568141198461831e-4	TRUE	3530	17893
IU_PDA_T10	KCNB1	7	0.08833798210897403	1	gaus3	7.433047716234662	0.02409426073648635	TRUE	2714	17893
IU_PDA_T11	KCNB1	51	0.02029737076105964	0.3130773996351654	projection	12.213647536285581	0.0019961262966642357	TRUE	2777	17893
IU_PDA_T12	KCNB1	39	0.0426720864662673	0.502904233488863	projection	8.68855688787269	0.012404355607524398	TRUE	3642	17893
IU_PDA_T2	KCNB1	13	0.2886416566494847	1	gaus5	3.815157105289452	0.14756007529756787	TRUE	4118	17893
IU_PDA_T3	KCNB1	8	0.02815880788594627	0.40814864614302276	cos2	11.315549632236973	0.003456477557759685	TRUE	4354	17893
IU_PDA_T4	KCNB1	6	0.9338805710057841	1	cos3	2.81235386648722	0.244519910444691	TRUE	3621	17893
IU_PDA_T9	KCNB1	12	0.4617662256818539	1	projection	4.956448500233352	0.08324209146739703	TRUE	3526	17893
IU_PDA_T1	KCNC4	131	0.012422829539677105	0.17408802883368674	projection	12.670833054578965	0.0014078357346474224	TRUE	3530	17893
IU_PDA_T10	KCNC4	86	0.01903563052821189	0.303106590993565	gaus5	9.77834718202259	0.00646801127694574	TRUE	2714	17893
IU_PDA_T11	KCNC4	206	9.690036414378156e-7	2.1891364385678966e-5	projection	30.33590106207392	8.832244715616439e-8	TRUE	2777	17893
IU_PDA_T12	KCNC4	532	5.397605416242576e-27	1.1313445882015085e-25	gaus3	107.68276457910672	1.1030238521455017e-27	TRUE	3642	17893
IU_PDA_T2	KCNC4	229	1.2803620328849519e-5	3.099414508025096e-4	projection	24.282374254853007	1.1639652718331561e-6	TRUE	4118	17893
IU_PDA_T3	KCNC4	180	0.005767831922587563	0.09124437897168979	gaus2	12.200482958941235	0.001732116635446701	TRUE	4354	17893
IU_PDA_T4	KCNC4	192	8.647830229691067e-10	1.7961821274664033e-8	projection	44.24803829104426	7.861669281106545e-11	TRUE	3621	17893
IU_PDA_T6	KCNC4	652	7.772577724495737e-33	2.449052469596553e-31	projection	127.9897667261682	7.06597974954158e-34	TRUE	3397	17893
IU_PDA_T8	KCNC4	198	1.2452137831964194e-7	2.2570036813016685e-6	projection	34.77432819017224	1.132012554110883e-8	TRUE	3779	17893
IU_PDA_T9	KCNC4	98	0.012597352471018564	0.23514070320985797	projection	13.18148536484391	0.0011433354881167368	TRUE	3526	17893
