gene	n_sections_tested	n_sections_fdr_lt_0_05	median_adjusted_pval	min_adjusted_pval	median_best_kernel_stat	max_best_kernel_stat	top_section	top_section_fdr	top_section_best_kernel
KCNN4	10	10	2.9712601915021404e-18	4.555901994362749e-48	87.73899342897164	194.45149180354363	IU_PDA_T8	4.555901994362749e-48	projection
KCNMA1	10	10	5.205411685132126e-10	8.185982351252206e-38	49.86991286688651	127.95157346337696	IU_PDA_T11	8.185982351252206e-38	projection
KCNK6	10	10	5.777608622085925e-6	3.8812480391365404e-39	39.8631665530155	146.70403989388583	IU_PDA_T12	3.8812480391365404e-39	gaus4
KCNJ8	10	10	4.207614003208942e-5	2.3345968009168004e-12	29.10803527936865	52.92873679633993	IU_PDA_T12	2.3345968009168004e-12	projection
KCNK1	10	9	1.1392057130679908e-14	6.63969594739653e-109	87.82809595304754	344.0357954429585	IU_PDA_T6	6.63969594739653e-109	projection
KCNS3	10	9	7.71249605752303e-12	8.492807696430109e-46	63.27462921556494	196.49962517053385	IU_PDA_T3	8.492807696430109e-46	projection
KCNAB2	10	9	2.3145009092648005e-6	2.9148730136813076e-23	33.70081779415204	81.05985735014835	IU_PDA_T12	2.9148730136813076e-23	gaus5
KCNJ15	10	7	1.0957990054954124e-9	2.1228014719373213e-47	54.15959734264936	204.17618665942535	IU_PDA_T6	2.1228014719373213e-47	projection
KCNE4	10	7	2.9402864441626903e-5	9.319747804087435e-16	29.168994979800477	58.05903145394321	IU_PDA_T12	9.319747804087435e-16	gaus4
KCNK3	10	7	0.017535135615251777	3.3374669059984416e-158	19.04503267714221	692.3088912794504	IU_PDA_T3	3.3374669059984416e-158	gaus5
KCNMB1	10	6	6.661369193524559e-7	2.835908985651708e-26	38.17790724037033	113.28265326615116	IU_PDA_T11	2.835908985651708e-26	projection
KCNC4	10	6	1.659164075940943e-4	2.449052469596553e-31	27.309137658463463	127.9897667261682	IU_PDA_T6	2.449052469596553e-31	projection
KCND3	10	6	0.004292126320303844	9.430480494409817e-27	22.42885873735925	112.76213145362235	IU_PDA_T12	9.430480494409817e-27	gaus3
KCND2	10	6	0.006429657642908596	8.017278608147796e-23	18.34959642010333	95.78521888796767	IU_PDA_T12	8.017278608147796e-23	gaus4
KCNMB4	10	6	0.013349701428548931	6.624442917476374e-16	18.038057872032127	67.27754838012443	IU_PDA_T12	6.624442917476374e-16	gaus3
KCNQ4	10	6	0.04129811662812553	2.985479683117279e-14	16.3425177863665	69.08087584801463	IU_PDA_T4	2.985479683117279e-14	projection
KCNN3	10	4	0.4089250583212949	2.970915227525291e-9	11.462679441042685	44.799642862485406	IU_PDA_T12	2.970915227525291e-9	gaus2
KCNK17	10	3	0.7950300286578389	3.7566730706846064e-15	8.04572015633695	68.83479121150513	IU_PDA_T12	3.7566730706846064e-15	gaus5
KCNJ16	10	3	0.9056887037744968	1.317683975058431e-32	9.63122136201117	153.40347607876123	IU_PDA_T6	1.317683975058431e-32	projection
KCNA5	9	2	1	0.002651567817548317	4.658200442601434	21.804129108188484	IU_PDA_T12	0.002651567817548317	projection
KCNK15	10	1	1	0.00791300718973307	7.8990952499968365	19.73203654713429	IU_PDA_T6	0.00791300718973307	projection
KCNB1	8	0	0.7514521167444315	0.0998032411928068	8.060802302053675	14.374371844226657	IU_PDA_T1	0.0998032411928068	gaus1
KCNAB1	10	0	1	0.5023374916261395	5.4930439207193675	11.060120400327255	IU_PDA_T3	0.5023374916261395	projection
KCNT2	10	0	1	0.2998841076319865	6.330734202731428	9.801701077162043	IU_PDA_T8	0.2998841076319865	gaus5
